2026/04/14 15:49:41 | INFO   | jvm 1    | 	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at java.base/java.lang.Thread.run(Unknown Source)
2026/04/14 15:49:41 | INFO   | jvm 1    | javax.xml.bind.JAXBException: Error while searching for service [javax.xml.bind.JAXBContextFactory]
2026/04/14 15:49:41 | INFO   | jvm 1    |  - with linked exception:
2026/04/14 15:49:41 | INFO   | jvm 1    | [java.util.ServiceConfigurationError: javax.xml.bind.JAXBContextFactory: Error accessing configuration file]
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at javax.xml.bind.ContextFinder$1.createException(ContextFinder.java:118)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at javax.xml.bind.ContextFinder$1.createException(ContextFinder.java:115)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at javax.xml.bind.ServiceLoaderUtil.firstByServiceLoader(ServiceLoaderUtil.java:76)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at javax.xml.bind.ContextFinder.find(ContextFinder.java:343)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at javax.xml.bind.JAXBContext.newInstance(JAXBContext.java:508)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at javax.xml.bind.JAXBContext.newInstance(JAXBContext.java:465)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at javax.xml.bind.JAXBContext.newInstance(JAXBContext.java:366)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at com.vmware.ops.api.client.util.JaxbContextFactory.createJaxbContext(JaxbContextFactory.java:116)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at com.vmware.ops.api.client.util.JaxbContextFactory.getInstance(JaxbContextFactory.java:105)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at com.vmware.ops.api.client.internal.RestClientProxy.<init>(RestClientProxy.java:118)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at com.vmware.ops.api.client.internal.DefaultClient.<init>(DefaultClient.java:94)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at com.vmware.ops.api.internalclient.internal.DefaultClient.<init>(DefaultClient.java:45)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at com.vmware.ops.api.internalclient.ClientFactory.newClient(ClientFactory.java:19)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at com.vmware.adapter3.vmwareinfrahealth.util.VROPsSuiteApiUtil.createInternalClient(VROPsSuiteApiUtil.java:72)
2026/04/14 15:49:41 | INFO   | jvm 1    | 	at com.vmware.adapter3.vmwareinfrahealth.VMwareInfraHealthAdapter.onCollect(VMwareInfraHealthAdapter.java:309)
